Test Case #,x (m),y (m),theta (radians),time taken (s),# of tries
1,0.748117779247344,0.001285993028432,-0.029795437819519,83.4418487548828,2
2,0.749735193858071,-0.004230887629092,-0.09110925069362,69.9917542934418,1
3,0.743832725646004,0.00548167526722,0.041737495476101,65.3110017776489,1
4,0.743171492531186,0.005296705290675,0.028340683282314,102.574278116226,3
5,0.745378661988273,-0.00255293562077,-0.063488868029303,67.0739915370941,1
6,0.743900135660928,0.007734995335341,0.061029700384964,64.2245995998383,1
7,0.747086713503277,0.000396168063162,-0.033695487875541,73.6224343776703,2
8,0.744563355597239,0.007604240439832,0.060612522366605,66.5628352165222,2
9,0.748202644908239,0.004902274813503,0.051799315257115,61.2118074893951,1
1,0.749925455668616,-0.004526928067207,-0.066288849723339,85.0298051834107,2
2,0.740612513754103,0.003609964856878,0.06739570197571,84.3172345161438,2
3,0.745466224049765,0.001873197383247,0.024527677357495,63.645792722702,1
4,0.740999234366038,0.003262822516263,-0.042704031404232,79.4960329532623,2
5,0.748113048719981,0.004449363332242,0.075928459547743,78.7768318653107,2
6,0.748447638920375,0.008617770858109,0.036861085889535,62.4643726348877,1
7,0.746470751535325,0.00408535124734,-0.017082378004065,73.6729724407196,2
8,0.745085558512854,0.002630796516314,0.028425448716986,79.5384752750397,2
9,0.743259196508498,0.008640392683446,0.084067802658826,62.8593020439148,1
1,0.744240639020526,-0.004938834812492,-0.067244348910398,84.9354259967804,2
2,0.744778310760619,-0.001771500334144,-0.060545466912774,113.748016834259,3
3,0.746018655035231,0.004960519261658,0.038398290876354,65.3647634983063,1
4,0.748643482753209,-0.004176251124591,-0.081080945274519,80.2370903491974,2
5,0.744839618395245,0.00899423379451,0.09744728626423,82.1946494579315,2
6,0.745225771343897,0.003371045924723,0.040495171273022,63.9564356803894,1
7,0.74507482021574,0.007895902730525,0.098212569946438,66.7096464633942,1
8,0.749064641604348,-0.003242842853069,-0.070075408912751,56.0073595046997,1
9,0.749760123737275,0.004913428332657,0.081390973696615,63.2341437339783,1
1,0.740566722249228,0.000843393849209,-0.073793581680683,194.559968948364,2
2,0.743566065818544,-0.005192124284804,-0.11279969869809,70.7897403240204,1
3,0.746260290372939,0.006840313784778,0.041861265357578,65.7955980300903,1
4,0.749759887210906,0.008042410947382,0.061419128452496,105.504803180695,3
5,0.748872818719773,4.18320087192114E-05,-0.040184416949357,66.4442932605743,1
6,1.12213668868655,0.086723171174526,0.525149454576095,60.8032827377319,1
7,0.740175081888835,-0.001846129191108,-0.066372888773521,142.965166091919,2
8,0.741243424188523,0.003782694926485,0.02566890065725,66.5056502819061,2
9,0.749550655985635,0.005876721348614,0.074105407443536,62.4344742298126,1
1,0.746737316752237,-0.003086715936661,-0.114971717861048,87.6175456047058,2
2,0.742829286181738,0.008065112866461,0.10832785516716,86.4730179309845,2
3,0.740880687350319,0.001580995041877,0.02751745824389,65.1821320056915,1
4,0.7443348711256,-0.004930333700031,-0.078911534343435,107.882897615433,3
5,0.74815406239222,0.005708198994398,0.045921260195297,82.063348531723,2
6,0.749441286193,0.006608750205487,0.05238115106768,63.6379544734955,1
7,0.74455621250092,0.001711645978503,-0.047190233820897,76.6069002151489,2
8,0.743908224862719,0.008994072675705,0.029687765383022,68.0454742908478,2
9,0.740465772795299,0.00763353984803,0.085937342174367,100.4535779953,1
,,,,,
Average,0.753854527624827,0.004710315817162,0.018606947288919,79.4215272903442,1.62222222222222
Min,0.740175081888835,-0.005192124284804,-0.114971717861048,56.0073595046997,1
Max,1.12213668868655,0.086723171174526,0.525149454576095,194.559968948364,3
